title,wine_type,variety,flavor_categories_taste_notes,points,description,price,winery,country,province,region
Château Pontet-Canet 2014  Pauillac,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"This is a finely structured wine with dark tannins and intense black fruits. The estate, with its biodynamically grown fruit, has given an impressively pure wine, packed with tight serious tannins and a fine structure of black-plum skins and intense acidity. It is direct, firm and with a huge potential over many years. Drink from 2027.",110,Château Pontet-Canet,France,Bordeaux,Pauillac
Epoch Estate Wines 2013 Block B Paderewski Vineyard Syrah (Paso Robles),Red,Syrah,"medium bodied, balanced",96,"This wine from Jordan Fiorentini is a stunning study in how to achieve extreme richness with elegance. Deep black cherry, violet, espresso, milk chocolate and vanilla pastry show on the nose. On the palate, chalky, soft tannins bring forth baked blueberry, star anise and clove flavors, with floral tones and acidic lift on the finish.",90,Epoch Estate Wines,US,California,Paso Robles
Stolo 2014 Estate Syrah (San Luis Obispo County),Red,Syrah,"full bodied, robust",96,"This is possibly the most savory rendition of Syrah made on the Central Coast, each vintage as feral as the last. This bottling shows bloody lamb, crushed peppercorn, soy and barnyard elements on the nose. The palate is tense with tarry structure, revealing unusual kelp, stewed peppercorn, black miso and teriyaki flavors.",40,Stolo,US,California,San Luis Obispo County
Alloro 2014 Estate Justina Pinot Noir (Chehalem Mountains),Red,Pinot Noir,"full bodied, robust",96,"An extra dollop of toasty oak amplifies the deep black-cherry core. Cedar, pipe tobacco, espresso and dark chocolate highlights wrap around and through the finish. This is a wine with power, precision and exceptional detail. Drink now through the mid-2020s.",85,Alloro,US,Oregon,Chehalem Mountains
Biondi Santi 2012  Brunello di Montalcino,Red,Sangiovese,"light, fruity",96,"Underbrush, ripe berry, new leather and Mediterranean herb aromas slowly take shape in the glass. Showing youthful tension, the vibrant palate delivers red cherry, pomegranate, white pepper and pipe tobacco notes framed by bright acidity and taut, refined tannins. It already shows great balance and finesse but is still young and tight. Drink 2022–2035.",199,Biondi Santi,Italy,Tuscany,Brunello di Montalcino
Château Bélair-Monange 2014  Saint-Émilion,Red,Bordeaux-style Red Blend,"medium bodied, balanced",96,"With the amalgamation of Château Magdelaine into this one property, the estate is now a considerable 58 acres. The wine is now performing in top gear. Powerful tannins drive the mainly Merlot blend with 10% Cabernet Franc. It still shows signs of the wood aging and these will disappear to leave a richly endowed wine with a fine future. Drink from 2026.",160,Château Bélair-Monange,France,Bordeaux,Saint-Émilion
Château Valandraud 2014  Saint-Émilion,Red,Bordeaux-style Red Blend,"light, fruity",96,"Here's an impressive wine that is so ripe and with great structure. It is a major wine with a dark complex texture and the finest acidity. The wine is very complete, all the elements in place from the black fruits to the tannins to the hints of wood aging. Now at the top of the tree in Saint-Emilion's classification, the wine will take years to mature. Drink from 2027.",200,Château Valandraud,France,Bordeaux,Saint-Émilion
Ken Wright 2014 Abbott Claim Vineyard Pinot Noir,Red,Pinot Noir,"medium bodied, balanced",96,"Somehow, in a stellar 2014 lineup, this vineyard designate stands out, as the 2012 did when it was the Wine Enthusiast 2015 wine of the year. Power and precision work in tandem here. The fruit blend conjures up melon, berry, cherry and more, and the oak has the gentlest touch to its presence. There's tremendous midpalate concentration, and the clear sense that this could age for decades. Let's just say drink 2018 through 2030.",63,Ken Wright,US,Oregon,Willamette Valley
Le Dôme 2014  Saint-Émilion,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"This almost 100% Cabernet Franc single-vineyard wine is perfumed and ripe. The velvet tannins and ripe black fruits are fine, structured and with enormous potential. The wine is generous, opulent and worthy of serious aging. Drink from 2027.",175,Le Dôme,France,Bordeaux,Saint-Émilion
Williams Selyem 2014 Lewis MacGregor Estate Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"medium bodied, balanced",96,"This wine shows a high degree of spiciness with a rose petal-like flourish—a stellar first effort from a new estate vineyard along Eastside Road. Brambly raspberry and dark cherry flavors seem brushed by a subtle waft of campfire smoke and molten chocolate, all swirling together in the glass as a lengthy, lively palate framed by acidity.",85,Williams Selyem,US,California,Russian River Valley
Château Léoville Poyferré 2012 Barrel Sample  (Saint-Julien),Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"94–96. Barrel sample. This very ripe, full-bodied wine is powered by sweet blackberries and solid tannins. It is a full, concentrated and complex wine that has a great future.",150,Château Léoville Poyferré,France,Bordeaux,Saint-Julien
Germano Ettore 2013 Prapò  (Barolo),Red,Nebbiolo,"full bodied, robust",97,"Polished and well structured, this vibrant, savory red hits all the high notes. It opens with enticing red cherry, pressed rose, ground clove and balsamic scents that follow through to the chiseled palate, along with crushed cranberry and licorice notes. Firm but refined tannins and fresh acidity lend impeccable balance and finesse. Drink 2023–2043.",75,Germano Ettore,Italy,Piedmont,Barolo
Albino Rocca 2014 Ronchi  (Barbaresco),Red,Nebbiolo,"medium bodied, balanced",96,"This gorgeous wine's nose offers a potpourri of fragrant blue flowers, exotic spices, crushed herbs and wild berries. The palate delivers tart red cherry, raspberry compote, orange zest and cinnamon flavors framed by firm, refined tannins and bright acidity. A licorice note caps off the lingering finish. Drink 2022–2034.",55,Albino Rocca,Italy,Piedmont,Barbaresco
Brezza 2013 Sarmassa  (Barolo),Red,Nebbiolo,"full bodied, robust",96,"Fragrant blue flower, dark spice, crushed herb and wild berry aromas are front and center on this impressive, structured red. The lively, energetic palate offers cranberry, red cherry, licorice and ground clove flavors set against youthful, noble tannins and firm acidity. A tobacco note lingers on the finish. It's still young and tightly wound but will blossom into a beauty over the next decade. Drink 2023–2045.",70,Brezza,Italy,Piedmont,Barolo
Patricia Green Cellars 2015 Estate Vineyard Etzel Block Pinot Noir (Ribbon Ridge),Red,Pinot Noir,"medium bodied, balanced",96,"Named after neighboring winery owner Mike Etzel (Beaux Frères), this exceptional wine is brilliantly focused and rippling with muscular depth. The palate is etched with blackberry and black cherry fruit, immersed in lush vanilla, coffee and caramel tones. It's instantly gratifying, impossibly seductive and exceptional in every way.",60,Patricia Green Cellars,US,Oregon,Ribbon Ridge
Albino Rocca 2014 Angelo  (Barbaresco),Red,Nebbiolo,"medium bodied, balanced",96,"Earthy, enticing violet, pressed rose, new leather crushed mint and game aromas follow through to succulent, savory palate, along with Marasca cherry and cranberry notes. Star anise, white pepper and clove accents add depth while youthfully assertive, refined tannins and vibrant acidity provide an ageworthy framework. Drink 2022–2034.",98,Albino Rocca,Italy,Piedmont,Barbaresco
Hors Categorie 2014 Syrah (Walla Walla Valley (OR)),Red,Syrah,"medium bodied, balanced",96,"This is a new project from Christophe Baron. The aromas pop, with notes of earth, plum, nori, iron, sea salt, herb, olive tapenade, black pepper and smoked meat. The palate is concentrated and structured, with rich yet restrained bacon fat and smoke flavors that bring a sense of vibrancy and richness along with a near endless finish. It brings a fair amount of tannic heft that will benefit from some additional time in the bottle. Best from 2024-2028.",240,Hors Categorie,US,Oregon,Walla Walla Valley (OR)
Germano Ettore 2013 Cerretta  (Barolo),Red,Nebbiolo,"full bodied, robust",95,"New leather, red berry, tobacco and menthol are some of the aromas you'll find in this powerfully structured but elegant wine. The firm palate delivers juicy Marasca cherry, raspberry compote, licorice and cinnamon flavors framed by noble, fine-grained tannins and bright acidity. Drink 2025–2045.",75,Germano Ettore,Italy,Piedmont,Barolo
Horsepower 2014 Sur Echalas Vineyard Grenache (Walla Walla Valley (OR)),Red,Grenache,"full bodied, robust",95,"The aromas explode with notes of potpourri, olive, smoked meat, fire pit, orange peel, mineral, mushroom, garrigue and white pepper. The palate is lifted, bright but intensely flavored, loaded with flower, berry, olive and charcuterie flavors. The finish seems near endless and the sense of balance is exquisite. It's shockingly good.",120,Horsepower,US,Oregon,Walla Walla Valley (OR)
Lambert 2013 The Family Tree Shiraz (Barossa Valley),Red,Shiraz,"full bodied, robust",95,"Rich, dense and intense, this is a big, muscular rendering of Barossa Shiraz. Scents of maple syrup and menthol intertwine with flavors of ripe plums and grilled meat. It's mouthcoating and long on the tannic finish, so give it some time in the cellar; drink 2020–2030.",65,Lambert,Australia,South Australia,Barossa Valley
Carlisle 2015 Palisades Vineyard Petite Sirah (Napa Valley),Red,Petite Sirah,"medium bodied, balanced",95,"For fans of the variety, this is a consistently blockbuster wine, well made and remarkably fruity and floral. Violet aromas ride quietly over rounded flavors of cherry pie as the body takes on full-figured dimension. Richly voluptuous, there's balance here within the firm robust tannin structure and heady licorice-laden end.",50,Carlisle,US,California,Napa Valley
Brezza 2013 Cannubi  (Barolo),Red,Nebbiolo,"medium bodied, balanced",98,"One of the best expressions from the classic Cannubi vineyard area, this fragrant red is all about finesse, opening with enticing scents of perfumed berry, iris, rose, chopped herb, baking spice and new leather. The vibrant palate boasts structure as well as an almost ethereal elegance, delivering succulent red cherry, crushed strawberry, cinnamon and licorice wrapped in refined tannins. Bright acidity lends impeccable balance. Drink from 2021 through 2043.",60,Brezza,Italy,Piedmont,Barolo
Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),Red,Nebbiolo,"medium bodied, balanced",98,"Always the firm's showstopper and one of the best expressions of this celebrated vineyard, the 2013 doesn't disappoint. It opens with alluring scents of wild red berry, Alpine herb, truffle, graphite and new leather while the dazzling palate boasts Marasca cherry, clove, cinnamon, tobacco and a balsamic note. It already shows remarkable finesse and complexity but still needs years to develop to its full and impressive potential. Drink from 2025 through 2050.",70,Comm. G. B. Burlotto,Italy,Piedmont,Barolo
Massolino 2011 Vigna Rionda Riserva  (Barolo),Red,Nebbiolo,"light, fruity",98,"From one of the most celebrated vineyards in the entire Barolo denomination, this gorgeous wine boasts captivating aromas of new leather, underbrush, ripe berry, tobacco, a whiff of tilled soil and a balsamic note. Seamlessly combining elegance and structure, the long, compelling palate delivers layers of juicy black cherry, ripe raspberry, licorice and clove alongside a backbone of noble tannins. It's already a fantastic showing and will age wonderfully for decades. Drink 2021–2046.",151,Massolino,Italy,Piedmont,Barolo
Giuseppe Rinaldi 2013 Brunate  (Barolo),Red,Nebbiolo,"full bodied, robust",98,"Classic Nebbiolo aromas of new leather, menthol, pressed rose, perfumed wild berry and chopped aromatic herb continuously lift out of the glass. The luminous, delicious palate delivers layers of succulent Marasca cherry, crushed raspberry, cinnamon and star anise set against a backbone of youthfully assertive but fine tannins. Bright acidity gives it wonderful balance while a note of pipe tobacco graces the lingering finish. Drink 2028–2048.",300,Giuseppe Rinaldi,Italy,Piedmont,Barolo
Elvio Cogno 2013 Ravera  (Barolo),Red,Nebbiolo,"light, fruity",97,"Wild berry, iris, rose and a potpourri of culinary spice aromas emerge on the nose of this stunning red. Radiant and full bodied, the palate is young and primary at this stage but already evokes morello cherry, licorice, pipe tobacco and aromatic herbs. Bright acidity and taut tannins provide impeccable balance and an impressive, age-worthy structure. Drink 2025–2043.",82,Elvio Cogno,Italy,Piedmont,Barolo
Domaine Drouhin Oregon 2010 Laurène Pinot Noir (Dundee Hills),Red,Pinot Noir,"medium bodied, balanced",95,"This reserve-level Pinot from DDO is exceptional in every way. Silky, elegant and deeply-fruited, it marries a plush midpalate of red berries and cherries to compelling grace notes of pine needle, cola and mocha. Delicious and ageworthy; if past vintages are any indication, this can go until 2029.",65,Domaine Drouhin Oregon,US,Oregon,Dundee Hills
Baldacci 2004 Cabernet Sauvignon (Stags Leap District),Red,Cabernet Sauvignon,"medium bodied, balanced",95,"This is Baldacci's regular Cab, although most wineries would be content for it to be their reserve. It's a powerful, rich young wine, massive in blackberry, currant and oak flavors, with a succulent edge of milk chocolate. The tannins are pure Stags Leap, giving a complex contrapuntal balance of grip and structure to the opulent fruit. Just fabulous in every aspect, a wine to dazzle. Drink now through 2010, at least.",55,Baldacci,US,California,Stags Leap District
Duckhorn 2004 Estate Grown Merlot (Napa Valley),Red,Merlot,other,95,"A blend of four vineyards, this is an extremely impressive Merlot. It dazzles with rich, ripe black currant, cherry liqueur, raspberry, milk chocolate, smoky oak and spice flavors that are complex and go on and on through the finish. Beyond that is the texture, so refined and elegant, combining power and subtle elegance. Just a gorgeous, sensual Merlot. Drink now–2010.",85,Duckhorn,US,California,Napa Valley
Sineann 2005 Block One Champoux Vineyard Cabernet Sauvignon (Columbia Valley (OR)),Red,Cabernet Sauvignon,"light, fruity",95,"Fermented to a plus-size 15.4% alcohol, this rare wine from one of Washington's oldest and best Cabernet vineyards shows what a gifted winemaker can do with great fruit. The play of flavors, mixing red and purple fruits, toasted nuts, mocha, caramel, bark and earth, is exceptional. The detail is extraordinary for a wine with such high alcohol. The acids and tannins are seamless and fine, and the flavors extend into an unusual finish that suggests menthol and eucalyptus – not generally a character found in Champoux fruit. All in all it's a wonderful voyage, and one of a handful of essential Washington wines.",72,Sineann,US,Oregon,Columbia Valley (OR)
Marchesi Antinori 2010 Solaia Red (Toscana),Red,Red Blend,"full bodied, robust",97,"Already one of Italy's most iconic bottlings, this gorgeous 2010 is already a classic. Its complex and intense bouquet unfolds with ripe blackberries, violets, leather, thyme and balsamic herbs. The palate shows structure, poise and complexity, delivering rich black currants, black cherry, licorice, mint and menthol notes alongside assertive but polished tannins and vibrant energy. This wine will age and develop for decades. Drink 2018–2040.",325,Marchesi Antinori,Italy,Tuscany,Toscana
Château Lafite Rothschild 2011  Pauillac,Red,Bordeaux-style Red Blend,"medium bodied, balanced",96,"The wine shows the power typical of a Lafite but within the context of the fruity 2011 vintage. The immensely dense tannic structure gives the wine a solid feel that is lifted by so much ripe black currant and berry fruits. At the back, the wine has a more brooding, dark character that suggests great aging potential. Drink this wine from 2019.",685,Château Lafite Rothschild,France,Bordeaux,Pauillac
Château Pontet-Canet 2011  Pauillac,Red,Bordeaux-style Red Blend,"full bodied, robust",96,"So smooth, this is a rich, grandiose wine. Although it is full of black currant fruits and spice flavors, the texture is most impressive. Dusty tannins are integrated with juicy fruits seamlessly. The purest fruit flavors are allied to linear tannins in a precise yet generous way. The wine is evolving beautifully, but do not drink before 2020.",105,Château Pontet-Canet,France,Bordeaux,Pauillac
Isole e Olena 2010 Cepparello Sangiovese (Toscana),Red,Sangiovese,"medium bodied, balanced",96,"It opens with an enticing fragrance of black berries, toast, Mediterranean spices and a touch of vanilla. The vibrant, youthful palate delivers a core of black cherry accented with black pepper layered with mocha, mint and tobacco notes. The racy acidity and solid but brooding tannins demonstrate that this wine still needs time to develop to its extraordinary potential. Drink 2018–2035.",80,Isole e Olena,Italy,Tuscany,Toscana
Château Léoville Las Cases 2011  Saint-Julien,Red,Bordeaux-style Red Blend,"medium bodied, balanced",96,"Huge structure, huge potential, a wine that will bring out all the fruit and density of the vintage while remaining very fresh. Black plums are already showing strongly along with the dry core that promises aging. It's serious while alive and bright. Drink this major wine from 2022.",175,Château Léoville Las Cases,France,Bordeaux,Saint-Julien
Syncline 2011 Ciel du Cheval Vineyard Syrah (Red Mountain),Red,Syrah,"medium bodied, balanced",95,"This is a focused, riveting expression of Red Mountain Syrah from a great vineyard. It's packed with juicy flavors of fresh raspberries, tinged with tangerine-flavored acids. Elegant and fascinating, it's a pure, fruit-driven expression of the grape, bolstered by the natural minerality of Ciel du Cheval fruit.",50,Syncline,US,Washington,Red Mountain
Château Margaux 2011  Margaux,Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"A solidly structured wine, it is both elegant and intensely powerful. It is disclosing its fruitiness slowly, at the moment dense and concentrated. A restrained edge provides complexity and balance. It will need aging, so don't drink before 2022.",550,Château Margaux,France,Bordeaux,Margaux
Col d'Orcia 2006 Poggio al Vento Riserva  (Brunello di Montalcino),Red,Sangiovese,"full bodied, robust",95,"This iconic Brunello seamlessly combines power and finesse. It opens with earthy aromas of underbrush, tobacco, tilled soil and blackberries. The dense palate delivers juicy black cherry and raspberry alongside black pepper, licorice and a balsam note. It's impeccably balanced but still very young, and still showing racy acidity and assertive tannins. Give it time to soften and develop more complexity. Drink 2016–2031.",150,Col d'Orcia,Italy,Tuscany,Brunello di Montalcino
Felsina 2010 Fontalloro Sangiovese (Toscana),Red,Sangiovese,"full bodied, robust",95,"Made entirely from Sangiovese, it opens with fragrances that recall spicy black berries and Mediterranean herbs. The velvety palate delivers power and finesse along with fleshy black cherry, licorice and a graphite note. Wine Warehouse, Polaner Selections.",62,Felsina,Italy,Tuscany,Toscana
Biondi Santi 2008  Brunello di Montalcino,Red,Sangiovese,"medium bodied, balanced",95,"From the grandson of the inventor of Brunello, this iconic bottling opens with a classic bouquet of rose, violet, berry and spice. The vibrant palate delivers bright wild cherry, white pepper and energizing mineral notes along with impeccable balance and finesse. It's very elegant, with firm but supple tannins and still-nervous acidity. Give it time to unwind and develop complexity. Drink 2016–2038.",200,Biondi Santi,Italy,Tuscany,Brunello di Montalcino
Giuseppe Cortese 2006 Rabajà Riserva  (Barbaresco),Red,Nebbiolo,"full bodied, robust",95,"Demonstrating finesse and depth, it discloses a stunning fragrance of pressed rose, iris, berry, leather and truffle. The rich but elegant palate delivers creamy cherry, white pepper and licorice along with supple tannins. This wine already shows great depth but will continue to develop for years.",110,Giuseppe Cortese,Italy,Piedmont,Barbaresco
Marchesi Antinori 2010 Tignanello Red (Toscana),Red,Red Blend,"light, fruity",95,"Black berry, plum, red currant and cedar aromas take center stage in this fantastic vintage of one of Italy's most iconic wines. The structured, poised palate delivers a great depth of flavors that include succulent black cherry, cracked black pepper and mocha that are energized by a flinty mineral note. Smooth and balanced with polished tannins and fresh acidity, this is already delicious but hold for complexity. Drink 2015–2030.",105,Marchesi Antinori,Italy,Tuscany,Toscana
Château Calon Ségur 2011  Saint-Estèphe,Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"This wine has so many of the structural elements of a Saint-Estèphe, but also is enveloped by ripe fruitiness. Black in color and dense in character, it has sweetness from the plum juice fruits and great acidity. But it is also firm, powerfully projecting a serious potential. Drink from 2022.",65,Château Calon Ségur,France,Bordeaux,Saint-Estèphe
Château Mouton Rothschild 2011  Pauillac,Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"There is a lightness about this vintage of Mouton Rothschild. It doesn't take away from its quality but does give the wine poise and an attractive lift. The wine is based on solid tannins, then the ripe fruit builds layers of fruitiness and freshness. It is not likely to be one of the longest-aging Moutons, but it will be delicious. Drink from 2020.",600,Château Mouton Rothschild,France,Bordeaux,Pauillac
Leonetti Cellar 2008 Reserve Red (Walla Walla Valley (WA)),Red,Bordeaux-style Red Blend,"full bodied, robust",96,"In comparison with the 2008 Cabernet, this is the bigger wine, less sleek, more chewy. As it opens in the glass, the aromas display incense scents, and there is assertive, blocky, chewy fruit––especially black cherry. The tannins are also bigger, blockier, more substantial than the Cabernet. With hours of breathing time, exotic spices (saffron and more) emerge.",135,Leonetti Cellar,US,Washington,Walla Walla Valley (WA)
Den Hoed 2007 Andreas Cabernet Sauvignon (Horse Heaven Hills),Red,Cabernet Sauvignon,"medium bodied, balanced",96,"Gilles Nicault, who oversees the Long Shadows portfolio, makes this pure Cabernet. If this had a Napa Valley label on it, it could sell for three times the price. The structure is full and fleshy, but with the vividly bright fruit that screams Washington State. Juicy acidity underscores the berries, cherries and plums; the generously applied new oak adds texture and layers of caramel, coconut and chocolate. A bottle that belongs with Washington's (and California's) best.",80,Den Hoed,US,Washington,Horse Heaven Hills
Domaine Dujac 2009 Clos de la Roche  (Clos de la Roche),Red,Pinot Noir,other,96,"Very opulent, very rich, this is a complex, structured wine packed with fruit and brooding tannins. It is already rich, and will develop into a beautifully intense, concentrated and generous wine.",304,Domaine Dujac,France,Burgundy,Clos de la Roche
Domaine Jacques Prieur 2009 Musigny  (Musigny),Red,Pinot Noir,"medium bodied, balanced",96,"A sumptuous wine, rich in bright red fruits, with a structure and depth of flavor to match. The wine is gorgeously ripe, opening its heart quickly. Acidity, bitter chocolate and dark cherries go with the tannic core to promise long aging.",510,Domaine Jacques Prieur,France,Burgundy,Musigny
Cordero di Montezemolo 2007 Bricco Gattera  (Barolo),Red,Nebbiolo,"medium bodied, balanced",96,"This is an exceptional wine that will leave a mark, and a memory, with those who drink it. It's irresistible because of its brilliant, but simple, philosophy. Traditional Nebbiolo tones of cola, licorice and pressed violets are set beautifully against modern tones of spice, chocolate and vanilla. It's the integration of these two extremes that make this Barolo so important.",80,Cordero di Montezemolo,Italy,Piedmont,Barolo
Betz Family 2008 Père de Famille Cabernet Sauvignon (Columbia Valley (WA)),Red,Cabernet Sauvignon,"medium bodied, balanced",95,"Seductive and complex, the inviting aromas mix incense, blueberries, cassis, licorice and threads of herb and graphite. Flavors are wrapped tightly and unfold gracefully through a long finish. The herbal side of Cabernet is noted without being intrusive. Classic, deep and expressive.",60,Betz Family,US,Washington,Columbia Valley (WA)
Domaine Jacques Prieur 2009 Echézeaux  (Echézeaux),Red,Pinot Noir,"light, fruity",95,"A structured wine, with great density of fruit, richness of  texture and at the same time acidity. Its black fruit and red berry flavors are pure and very linear while also giving the wine a full-bodied character.",370,Domaine Jacques Prieur,France,Burgundy,Echézeaux
Marimar Estate 2007 Cristina Don Miguel Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"full bodied, robust",95,"Massive, flamboyantly rich, a real treasure in the mouth. Just dazzles with the intensity of cherries, black raspberries, Dr. Pepper, plums, sweet vanilla-scented sandalwood and a wild array of savory spices. The wine is a small-production barrel selection from the estate vineyard, which is in the heart of the Green Valley. Drink now and through 2013, at least.",49,Marimar Estate,US,California,Russian River Valley
Domaine Jacques Prieur 2009 Chambertin  (Chambertin),Red,Pinot Noir,"full bodied, robust",95,"A powerful, classic Chambertin, intensely structured and tannic. The sweet black fruit is potentially enormous, still finding its place among the tannins. Spice, with a mineral streak, gives the wine added complexity. Very dense in texture, this will age 10 years and many more.",360,Domaine Jacques Prieur,France,Burgundy,Chambertin
Domaine Dujac 2009 Clos de Saint-Denis  (Clos Saint-Denis),Red,Pinot Noir,"full bodied, robust",95,"A very rich wine, showing all the opulence of 2009. Black plums, damsons and wood flavors are already combined and integrated. The acidity in all this richness and power seems low, leaving the tannins to support aging.",304,Domaine Dujac,France,Burgundy,Clos Saint-Denis
Marchesi di Barolo 2007 Cannubi  (Barolo),Red,Nebbiolo,"medium bodied, balanced",95,"Almost over the top, this beautiful Barolo from the most celebrated cru of them all—the iconic Cannubi vineyard—delivers maximum pleasure and intensity. This is a soft and velvety wine, with cherry, cassis, leather, moist tobacco and licorice aromas over extracted concentration and tight tannins. The wine needs more time to age and once it does, it can be paired with beef or aged cheeses.",135,Marchesi di Barolo,Italy,Piedmont,Barolo
Mark Ryan 2008 Dead Horse Red (Red Mountain),Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"This is the first wine to be blended each year, though it is not labeled a reserve. The new vintage has amazing depth, running down through a litany of red and black fruits, into veins of earth and tannin and graphite, and finishing with densely textured barrel notes of toast, coffee and bitter chocolate. Beautifully proportioned, deep and cellarworthy.",45,Mark Ryan,US,Washington,Red Mountain
Pio Cesare 2007  Barolo,Red,Nebbiolo,"medium bodied, balanced",95,"Pio Cesare and the 2007 vintage marry beautifully to produce a layered, opulent, textured, rich wine that is bursting with zesty red fruit, sassy spice, leather and toasted espresso bean. What really sets this wine apart is the dense smoothness of its texture. Save this bottle in your cellar 10 years or more.",65,Pio Cesare,Italy,Piedmont,Barolo
Domaine Rossignol-Trapet 2011  Chambertin,Red,Pinot Noir,"full bodied, robust",96,"This is full of fruit and weighty tannins. Coming from one of the finest vineyards in Burgundy, it is going to have great power and an opulent nature. This wine also has elegance, its black fruits controlled and with a mineral edge. That doesn't take away the power, it enhances the stylishness of this grand wine. Drink from 2020.",240,Domaine Rossignol-Trapet,France,Burgundy,Chambertin
Bouchard Père & Fils 2011 Le Corton  (Corton),Red,Pinot Noir,"full bodied, robust",96,"This is powerful and rich, allowing just a note of freshness to creep into the firm structure. Dark tannins, black fruits and smoky wood flavors combine harmoniously, lending a sense of great power and long-term aging potential. Drink from 2019.",115,Bouchard Père & Fils,France,Burgundy,Corton
Siro Pacenti 2006 Riserva  (Brunello di Montalcino),Red,Sangiovese Grosso,"medium bodied, balanced",95,"Not an obvious wine by any stretch, this riserva opens slowly and bashfully to deliver small pulses of cherry, chocolate and smoked bacon that build in intensity and power as the wine gains momentum in the glass. The tannins are present but are soft and firm without any bitter astringency. Age 10 years or more.",120,Siro Pacenti,Italy,Tuscany,Brunello di Montalcino
Tenimenti Angelini 2007 Val di Suga  (Brunello di Montalcino),Red,Sangiovese Grosso,"medium bodied, balanced",95,"This attractive Brunello presents a wild, brambly side, with aromas of wild mushroom, forest floor, small berry and crème de cassis. It boasts a beautiful, deep color and plenty of concentration, with endnotes of spice, leather and dried tobacco leaf. The mouthfeel is solid, well defined and superbly structured.",61,Tenimenti Angelini,Italy,Tuscany,Brunello di Montalcino
Verbena 2006 Riserva  (Brunello di Montalcino),Red,Sangiovese Grosso,"full bodied, robust",95,"A pretty and lusciously layered Brunello with dark fruit, spice, leather, tobacco and rum cake aromas. The wine is dense and chewy, with a tight, velvety feel. Dark fruit and spice push the wine across the palate, and both the acidity and tannins are softer than in other 2006 riservas.",75,Verbena,Italy,Tuscany,Brunello di Montalcino
Casanova di Neri 2007  Brunello di Montalcino,Red,Sangiovese Grosso,"medium bodied, balanced",95,"This 2007 Brunello is a big, opulent pleasure bomb with lavish layers, loaded thickly on top of each other: Chocolate fudge, dark cherry, blackberry preserves, rum cake, prune, exotic spice, pipe tobacco, cola, humus and leather. It shows huge personality, intensity and staying power, too. All that density is backed by solid tannins and a steady firmness. Hold 10–15 years.",50,Casanova di Neri,Italy,Tuscany,Brunello di Montalcino
Castelgiocondo 2007  Brunello di Montalcino,Red,Sangiovese Grosso,"medium bodied, balanced",95,"From Tuscany's celebrated Frescobaldi wine family, Brunello Castelgiocondo opens with dark, inky concentration and bold aromas of pressed rose, black cherry, exotic spice, leather and unsweetened chocolate. It is beautifully put together, with ample intensity, balance, complexity and silkiness on the finish.",75,Castelgiocondo,Italy,Tuscany,Brunello di Montalcino
Castello Banfi 2006 Poggio all'Oro Riserva  (Brunello di Montalcino),Red,Sangiovese Grosso,"medium bodied, balanced",95,"Poggio all'Oro (a wine only produced in the best vintages) is a sophisticated and austere Brunello with just a tiny dab of sweet spice and red rose aromas on the bouquet. Beyond those are steady, savory pulses of tobacco, leather and dark cedar. The wine is plush, textured and rich, with a polished firmness that keeps it grounded on the palate.",150,Castello Banfi,Italy,Tuscany,Brunello di Montalcino
Tenuta San Guido 2013  Bolgheri Sassicaia,Red,Red Blend,"light, fruity",98,"Red berry, cedar and light spice aromas lead the way on this dazzling red. The vibrant palate is loaded with finesse, delivering bright red currant, red raspberry, white pepper and chopped herb alongside bright acidity and firm, polished tannins. Impeccably balanced, it's loaded with elegance, energy and intensity but it's still young, so give it time to fully develop. Drink 2020–2038.",235,Tenuta San Guido,Italy,Tuscany,Bolgheri Sassicaia
Castello dei Rampolla 2012 d'Alceo Red (Toscana),Red,Red Blend,"full bodied, robust",95,"Earthy aromas of tilled soil, underbrush, leather, purple flower, cedar and ripe black-skinned berry lead the way on this delicious blend of 85% Cabernet Sauvignon and 15% Petit Verdot. The smooth full-bodied palate doles out juicy blackberry, red currant, licorice, exotic spice, mocha and a hint of game while tightly knit but velvety tannins lend both structure and finesse. It's already compelling but give it time to fully develop. Drink 2018–2027.",242,Castello dei Rampolla,Italy,Tuscany,Toscana
Jarvis 2007 Reserve Cabernet Sauvignon (Napa Valley),Red,Cabernet Sauvignon,"medium bodied, balanced",95,"A designation used only when a vintage deserves, this reserve is definitely worthy. Almost a decade after bottling, it offers an intensity of chocolate, cinnamon and clove against soft, mellowed and structured tannin. Dusty sage and a bramble of blackberry complete the picture. It may have another five to seven years of beauty left within, but why wait?",260,Jarvis,US,California,Napa Valley
